i,01_LeeFerry_g_f,02_LakeMead_g_f,03_DavisDam_g_f,04_ParkerDam_g_f,05_Needles_g_f,06_ImperialDam_g_f,07_InternationBdry_g_f
LeeFerry_h_f,1,,,,,,
LittleColo_h_f,,1,,,,,
InflowEvapAdj_h_f,,,,1,,,
GilaRiver_h_f,,,,,,,
01_LeeFerry_g_f,,1,,,,,
02_LakeMead_g_f,,,1,,,,
03_DavisDam_g_f,,,,1,,,
04_ParkerDam_g_f,,,,,1,,
05_Needles_g_f,,,,,,1,
06_ImperialDam_g_f,,,,,,,1
07_InternationBdry_g_f,,,,,,,
01_AZ_Yuma_ag_u_f,,,,,,-1,
03_CA_AA_Canal_ag_u_f,,,,,-1,,
05_CA_CO_Riv_Aq_urb_u_f,,,-1,,,,
02_AZ_C_AZ_Prj_ag_u_f,,,,-1,,,
06_AZ_C_AZ_Prj_urb_u_f,,,,-1,,,
04_NV_LV_urb_u_f,,-1,,,,,
LakeMead_rel_f,,1,,,,,
